,lval,op,rval,Estimate
0,2002_2010_percent_upzoned,~,1,13.602951529751744
1,2010_2018_percent_upzoned,~,1,27.43887964561175
2,d_2010_2018_median_home_value,~,1,103414.6530993786
3,d_2010_2018_per_capita_income,~,1,9362.363292465752
4,d_2010_2018_percent_bachelor_degree_or_higher,~,1,8.589066623626765
5,d_2010_2018_percent_car_commuters,~,1,19.63930385291831
6,d_2010_2018_percent_car_trips_under_45_min,~,1,-407.2175746742529
7,d_2010_2018_percent_hispanic_any_race,~,1,16.950151212871
8,d_2010_2018_percent_households_with_people_under_18,~,1,27.50582966486769
9,d_2010_2018_percent_multi_family_units,~,1,6.717556332361987
10,d_2010_2018_percent_non_hispanic_asian_alone,~,1,4.815885727966225
11,d_2010_2018_percent_non_hispanic_black_alone,~,1,2.9373948267834047
12,d_2010_2018_percent_non_hispanic_or_latino_white_alone,~,1,-51.17415631880767
13,d_2010_2018_percent_occupied_housing_units,~,1,80.06951139813013
14,d_2010_2018_percent_of_households_in_same_house_year_ago,~,1,60.35425945663404
15,d_2010_2018_percent_public_transport_commuters,~,1,23.8578425069277
16,d_2010_2018_percent_public_transport_trips_under_45_min,~,1,5.948018693075022
17,d_2010_2018_pop_density,~,1,15145.972850628123
18,d_2010_2018_resid_unit_density,~,1,4004.120391837962
19,log_orig_per_capita_income,~,1,10.092744972104526
20,log_orig_percent_mixed_development,~,1,0.8786921222367245
21,log_orig_pop_density,~,1,9.532847268674539
22,log_orig_resid_unit_density,~,1,8.58351909829696
23,log_orig_square_meter_greenspace_coverage,~,1,11.029932987028868
24,orig_feet_distance_from_park,~,1,1294.9339489174054
25,orig_median_age,~,1,36.45132226294785
26,orig_median_gross_rent,~,1,1148.023357089294
27,orig_median_home_value,~,1,509458.8704553352
28,orig_percent_bachelor_degree_or_higher,~,1,28.95667875590902
29,orig_percent_car_commuters,~,1,35.55673999504382
30,orig_percent_car_trips_under_45_min,~,1,32.42731642582093
31,orig_percent_households_with_people_under_18,~,1,35.738033937960246
32,orig_percent_multi_family_units,~,1,73.53186360317125
33,orig_percent_non_hispanic_or_latino_white_alone,~,1,45.07381180056185
34,orig_percent_occupied_housing_units,~,1,92.2226068367447
35,orig_percent_of_households_in_same_house_year_ago,~,1,89.96429454881834
36,orig_percent_public_transport_commuters,~,1,52.196425110808626
37,orig_percent_public_transport_trips_under_45_min,~,1,4.903629022930263
38,orig_percent_residential,~,1,87.50522916242912
39,orig_percent_subsidized_properties,~,1,0.8789924009434686
40,sqrt_orig_percent_hispanic_any_race,~,1,4.47299946995347
41,sqrt_orig_percent_non_hispanic_asian_alone,~,1,3.041347581050048
42,sqrt_orig_percent_non_hispanic_black_alone,~,1,3.879109962408886
43,d_2010_2018_median_gross_rent,~,1,-316.2970039518369
44,d_2010_2018_square_meter_greenspace_coverage,~,1,-16164.06943585874
