,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,2011_2016_percent_upzoned,2011_2019_percent_upzoned,2016_2019_percent_upzoned,2011_2016_average_years_since_upzoning,2011_2019_average_years_since_upzoning,2016_2019_average_years_since_upzoning,d_2011_2016_resid_units,d_2011_2019_resid_units,d_2016_2019_resid_units,orig_percent_residential,orig_percent_limited_height,orig_percent_mixed_development,orig_percent_subsidized_properties,d_2011_2019_pop_density,d_2011_2019_resid_unit_density,d_2011_2019_per_capita_income,d_2011_2019_percent_non_hispanic_or_latino_white_alone,d_2011_2019_percent_non_hispanic_black_alone,d_2011_2019_percent_hispanic_any_race,d_2011_2019_percent_non_hispanic_asian_alone,d_2011_2019_percent_multi_family_units,d_2011_2019_percent_occupied_housing_units,d_2011_2019_median_gross_rent,d_2011_2019_median_home_value,d_2011_2019_percent_households_with_people_under_18,d_2011_2019_percent_of_households_in_same_house_year_ago,d_2011_2019_percent_bachelor_degree_or_higher,d_2011_2019_percent_car_commuters,d_2011_2019_percent_public_transport_commuters,d_2011_2019_percent_public_transport_trips_under_45_min,d_2011_2019_percent_car_trips_under_45_min,d_2011_2016_pop_density,d_2011_2016_resid_unit_density,d_2011_2016_per_capita_income,d_2011_2016_percent_non_hispanic_or_latino_white_alone,d_2011_2016_percent_non_hispanic_black_alone,d_2011_2016_percent_hispanic_any_race,d_2011_2016_percent_non_hispanic_asian_alone,d_2011_2016_percent_multi_family_units,d_2011_2016_percent_occupied_housing_units,d_2011_2016_median_gross_rent,d_2011_2016_median_home_value,d_2011_2016_percent_households_with_people_under_18,d_2011_2016_percent_of_households_in_same_house_year_ago,d_2011_2016_percent_bachelor_degree_or_higher,d_2011_2016_percent_car_commuters,d_2011_2016_percent_public_transport_commuters,d_2011_2016_percent_public_transport_trips_under_45_min,d_2011_2016_percent_car_trips_under_45_min,d_2016_2019_pop_density,d_2016_2019_resid_unit_density,d_2016_2019_per_capita_income,d_2016_2019_percent_non_hispanic_or_latino_white_alone,d_2016_2019_percent_non_hispanic_black_alone,d_2016_2019_percent_hispanic_any_race,d_2016_2019_percent_non_hispanic_asian_alone,d_2016_2019_percent_multi_family_units,d_2016_2019_percent_occupied_housing_units,d_2016_2019_median_gross_rent,d_2016_2019_median_home_value,d_2016_2019_percent_households_with_people_under_18,d_2016_2019_percent_of_households_in_same_house_year_ago,d_2016_2019_percent_bachelor_degree_or_higher,d_2016_2019_percent_car_commuters,d_2016_2019_percent_public_transport_commuters,d_2016_2019_percent_public_transport_trips_under_45_min,d_2016_2019_percent_car_trips_under_45_min,orig_pop_density,orig_percent_non_hispanic_or_latino_white_alone,orig_percent_non_hispanic_black_alone,orig_percent_hispanic_any_race,orig_percent_non_hispanic_asian_alone,orig_median_age,orig_per_capita_income,orig_resid_unit_density,orig_percent_multi_family_units,orig_percent_occupied_housing_units,orig_median_gross_rent,orig_median_home_value,orig_percent_households_with_people_under_18,orig_percent_of_households_in_same_house_year_ago,orig_percent_bachelor_degree_or_higher,orig_percent_car_commuters,orig_percent_public_transport_commuters,orig_percent_public_transport_trips_under_45_min,orig_percent_car_trips_under_45_min
Unnamed: 0.4,1.0,1.0,1.0,1.0,0.004222939868942427,-0.04599598828496396,-0.09075360396123232,0.128877096184358,0.14986411417170137,0.020710075088956822,-0.07468673243674086,-0.07545428455618101,-0.061902150009063774,0.08074143336600992,-0.08061211239003709,-0.3155712657773174,-0.0583195125458103,0.015608832104531187,-0.09439888940339985,-0.27716433602894924,-0.17921486062232664,-0.03960646036127216,0.09620131162098422,-0.0030328978931755107,-0.03589814938657161,0.06660171046352507,-0.09633782275821638,-0.24797607528721433,-0.05601819850821603,0.14186140337610936,-0.16935274375032702,-0.0032468990127948964,0.02613163647721603,-0.00255523687552959,0.03406662910214349,0.012975957461165344,-0.07861370717233186,-0.1571771257265927,-0.16657399093035258,-0.06318703647875328,0.07935695421925384,0.0010387393537980665,-0.009157293353365518,0.01416144145441611,-0.11509876165015176,-0.17737247603843528,-0.022699375917701468,0.042098907690535946,-0.11710007017976956,-0.017541749734255818,0.024383014281500325,0.012429849545553012,0.029120355780265148,0.00573605595235417,-0.06999159946497048,-0.22389801723779013,-0.03157305316740861,0.026294599577897777,0.018845428496551565,-0.0045239859208837645,-0.03602513281145027,0.08336299839131495,-0.0020202801377241517,-0.1723297222135206,-0.05105769423751696,0.11219271553718224,-0.08808293335565898,0.028941129717676692,-0.019445779194766092,-0.0033031458706691023,-0.029016922490943176,-0.12740692951258795,-0.31879123703332113,0.07231905822756032,0.36369493520865,0.057592890920248926,-0.055463768429116156,-0.35906141521686286,-0.2477617401994644,-0.09260589803718357,0.18368632689780282,-0.04456414885229473,-0.2998181585632392,0.30277865114252495,0.06351405933398352,-0.36826198132901466,0.2170236163692777,0.0011285889021627425,-0.023208860363852127,-0.1119305468781531
Unnamed: 0.3,1.0,1.0,1.0,1.0,0.004222939868942427,-0.04599598828496396,-0.09075360396123232,0.128877096184358,0.14986411417170137,0.020710075088956822,-0.07468673243674086,-0.07545428455618101,-0.061902150009063774,0.08074143336600992,-0.08061211239003709,-0.3155712657773174,-0.0583195125458103,0.015608832104531187,-0.09439888940339985,-0.27716433602894924,-0.17921486062232664,-0.03960646036127216,0.09620131162098422,-0.0030328978931755107,-0.03589814938657161,0.06660171046352507,-0.09633782275821638,-0.24797607528721433,-0.05601819850821603,0.14186140337610936,-0.16935274375032702,-0.0032468990127948964,0.02613163647721603,-0.00255523687552959,0.03406662910214349,0.012975957461165344,-0.07861370717233186,-0.1571771257265927,-0.16657399093035258,-0.06318703647875328,0.07935695421925384,0.0010387393537980665,-0.009157293353365518,0.01416144145441611,-0.11509876165015176,-0.17737247603843528,-0.022699375917701468,0.042098907690535946,-0.11710007017976956,-0.017541749734255818,0.024383014281500325,0.012429849545553012,0.029120355780265148,0.00573605595235417,-0.06999159946497048,-0.22389801723779013,-0.03157305316740861,0.026294599577897777,0.018845428496551565,-0.0045239859208837645,-0.03602513281145027,0.08336299839131495,-0.0020202801377241517,-0.1723297222135206,-0.05105769423751696,0.11219271553718224,-0.08808293335565898,0.028941129717676692,-0.019445779194766092,-0.0033031458706691023,-0.029016922490943176,-0.12740692951258795,-0.31879123703332113,0.07231905822756032,0.36369493520865,0.057592890920248926,-0.055463768429116156,-0.35906141521686286,-0.2477617401994644,-0.09260589803718357,0.18368632689780282,-0.04456414885229473,-0.2998181585632392,0.30277865114252495,0.06351405933398352,-0.36826198132901466,0.2170236163692777,0.0011285889021627425,-0.023208860363852127,-0.1119305468781531
Unnamed: 0.2,1.0,1.0,1.0,1.0,0.004222939868942427,-0.04599598828496396,-0.09075360396123232,0.128877096184358,0.14986411417170137,0.020710075088956822,-0.07468673243674086,-0.07545428455618101,-0.061902150009063774,0.08074143336600992,-0.08061211239003709,-0.3155712657773174,-0.0583195125458103,0.015608832104531187,-0.09439888940339985,-0.27716433602894924,-0.17921486062232664,-0.03960646036127216,0.09620131162098422,-0.0030328978931755107,-0.03589814938657161,0.06660171046352507,-0.09633782275821638,-0.24797607528721433,-0.05601819850821603,0.14186140337610936,-0.16935274375032702,-0.0032468990127948964,0.02613163647721603,-0.00255523687552959,0.03406662910214349,0.012975957461165344,-0.07861370717233186,-0.1571771257265927,-0.16657399093035258,-0.06318703647875328,0.07935695421925384,0.0010387393537980665,-0.009157293353365518,0.01416144145441611,-0.11509876165015176,-0.17737247603843528,-0.022699375917701468,0.042098907690535946,-0.11710007017976956,-0.017541749734255818,0.024383014281500325,0.012429849545553012,0.029120355780265148,0.00573605595235417,-0.06999159946497048,-0.22389801723779013,-0.03157305316740861,0.026294599577897777,0.018845428496551565,-0.0045239859208837645,-0.03602513281145027,0.08336299839131495,-0.0020202801377241517,-0.1723297222135206,-0.05105769423751696,0.11219271553718224,-0.08808293335565898,0.028941129717676692,-0.019445779194766092,-0.0033031458706691023,-0.029016922490943176,-0.12740692951258795,-0.31879123703332113,0.07231905822756032,0.36369493520865,0.057592890920248926,-0.055463768429116156,-0.35906141521686286,-0.2477617401994644,-0.09260589803718357,0.18368632689780282,-0.04456414885229473,-0.2998181585632392,0.30277865114252495,0.06351405933398352,-0.36826198132901466,0.2170236163692777,0.0011285889021627425,-0.023208860363852127,-0.1119305468781531
Unnamed: 0.1,1.0,1.0,1.0,1.0,0.004222939868942427,-0.04599598828496396,-0.09075360396123232,0.128877096184358,0.14986411417170137,0.020710075088956822,-0.07468673243674086,-0.07545428455618101,-0.061902150009063774,0.08074143336600992,-0.08061211239003709,-0.3155712657773174,-0.0583195125458103,0.015608832104531187,-0.09439888940339985,-0.27716433602894924,-0.17921486062232664,-0.03960646036127216,0.09620131162098422,-0.0030328978931755107,-0.03589814938657161,0.06660171046352507,-0.09633782275821638,-0.24797607528721433,-0.05601819850821603,0.14186140337610936,-0.16935274375032702,-0.0032468990127948964,0.02613163647721603,-0.00255523687552959,0.03406662910214349,0.012975957461165344,-0.07861370717233186,-0.1571771257265927,-0.16657399093035258,-0.06318703647875328,0.07935695421925384,0.0010387393537980665,-0.009157293353365518,0.01416144145441611,-0.11509876165015176,-0.17737247603843528,-0.022699375917701468,0.042098907690535946,-0.11710007017976956,-0.017541749734255818,0.024383014281500325,0.012429849545553012,0.029120355780265148,0.00573605595235417,-0.06999159946497048,-0.22389801723779013,-0.03157305316740861,0.026294599577897777,0.018845428496551565,-0.0045239859208837645,-0.03602513281145027,0.08336299839131495,-0.0020202801377241517,-0.1723297222135206,-0.05105769423751696,0.11219271553718224,-0.08808293335565898,0.028941129717676692,-0.019445779194766092,-0.0033031458706691023,-0.029016922490943176,-0.12740692951258795,-0.31879123703332113,0.07231905822756032,0.36369493520865,0.057592890920248926,-0.055463768429116156,-0.35906141521686286,-0.2477617401994644,-0.09260589803718357,0.18368632689780282,-0.04456414885229473,-0.2998181585632392,0.30277865114252495,0.06351405933398352,-0.36826198132901466,0.2170236163692777,0.0011285889021627425,-0.023208860363852127,-0.1119305468781531
2011_2016_percent_upzoned,0.004222939868942427,0.004222939868942427,0.004222939868942427,0.004222939868942427,1.0,0.8478675685935012,0.0738058572696516,0.006034043448809223,0.48778561587625113,-0.013585016573841703,0.050829526154743294,0.035583297254446006,0.018928074731008042,0.0042547962862699105,-0.018888913382769136,0.028088769780408435,0.0015731410407052355,0.04825463334753879,0.07076125806697736,0.017295185360194528,0.09859558158665932,-0.1227738386161427,-0.02081537002736473,-0.01969826232033786,0.023024197816592335,0.018387366843894252,0.018722254053609087,0.08964497403226968,-0.07366761344488598,-0.02044454391537657,0.1077842545279919,0.005753830076553222,-0.00023921583860964685,0.015821434820271228,-0.002097442739381309,0.02414200092619945,0.036433326139113924,0.018673064798627174,0.06835850705136053,-0.08764234429114562,-0.012082417394672014,-0.030239123959368563,-0.0072583308672138445,0.022325191191816616,0.006449272811233036,0.03042301595249333,-0.07946056578839995,-0.009096502495471833,0.0667263138953874,-0.017154655017694004,0.027932585095859663,-0.008722093438996333,-0.025832662777398385,0.03882061411913784,0.08150885049531217,0.008516696540131437,0.07021755428672084,-0.07259546042376974,-0.013382254812151282,0.013637080805704123,0.04707419817651788,-0.006730011274756302,0.02185708584023552,0.0899005038109834,-0.0033967988162820094,-0.01537242189931833,0.05861581912580775,0.031129681428344217,-0.03621455312843057,0.006997129073430839,0.014230561082389244,0.03493111037490562,-0.11429213966835743,0.07926361627726781,0.04899651225316579,-0.018737729815252104,-0.07546232258592833,-0.06568403217206695,0.02182266674669361,0.06595279675587047,-0.04846919921887543,-0.02369770085625181,-0.05042739425948348,0.04432894805571926,-0.03325678347507243,-0.06538601735473888,-0.08836038217691329,0.10375321680992282,-0.013519427764050336,0.014334823674947613
2011_2019_percent_upzoned,-0.04599598828496396,-0.04599598828496396,-0.04599598828496396,-0.04599598828496396,0.8478675685935012,1.0,0.5647521898181056,0.003955490245003012,0.3391026663478926,0.2402632712015137,0.044861145422752484,0.03254563027858465,0.01789603797473445,-0.02683794446564553,-0.02117037130229089,0.09020233964017918,0.01972057981838367,0.05517073080510135,0.10809976263969699,0.005948123269449903,0.05979831756222294,-0.11634457204314884,-0.0267917880380488,-0.027801170133009586,0.021295452316038115,0.01909157987940961,0.004843558209726081,0.060744008634759816,-0.07195337595800219,0.0040807466039832945,0.08754814420300908,0.0017095871484967792,0.004940737408273844,0.012021993051448042,0.0006779117056046183,0.02805997649095046,0.07561237393121555,0.005808601381435899,0.0258397693424944,-0.09380785198718894,-0.016147271476949637,-0.029007369229970142,-0.0022447127140328657,0.017667331705212848,0.0011945537203413776,0.0015215101939055594,-0.07584368030034706,0.01821819538225911,0.04966850280189156,-0.011871953235023677,0.023602289455723874,-0.009277570115187454,-0.019010984508561923,0.04378016575271263,0.09875597321776391,0.006266854483421858,0.07363439187398368,-0.05414585412702314,-0.016439273790757655,-0.0004933165047090351,0.03855351717324467,0.0013357055434963928,0.006999116607000629,0.06195414962073092,-0.006154373630744004,-0.019995602711009742,0.053613370946740666,0.01799111697482178,-0.023542767911049863,0.0034535878169090544,0.002476811522321574,0.10949991211571669,-0.12259768204892435,0.0680440100194156,0.12904955955200975,-0.054005442272909904,-0.09033956735668733,-0.0744177543215519,0.08002799831343874,0.11025165521271171,-0.04041367064194378,-0.05886920819369293,-0.06411423831832284,0.04608528903916035,-0.04185304683213552,-0.0727940150959448,-0.13351011954274672,0.1505841943608865,-0.022057126124487434,0.019383971051958392
2016_2019_percent_upzoned,-0.09075360396123232,-0.09075360396123232,-0.09075360396123232,-0.09075360396123232,0.0738058572696516,0.5647521898181056,1.0,-0.008657790517038619,-0.12630028686369663,0.29928558753875695,0.00353448414689432,0.004831089373248247,0.0041930034762315185,-0.05668906449252784,-0.00975969741443338,0.14101344077872474,0.030813745250563667,0.016693981774784202,0.08220645170703061,-0.012373097707886188,-0.04199167541277868,-0.01614992196675906,-0.02667976234794436,-0.011301475468479608,0.0036124366123072484,-0.007614760058059499,-0.029205372804207264,-0.028615297338067072,-0.040897992868850735,0.0383712821119102,0.00590293859462858,-0.008181644800544945,0.022576775154628526,-0.0012540112112841616,0.0037494914251105216,0.000637997593848103,0.07085174582110121,-0.009293632841590752,-0.05047248610894102,-0.02749830077470765,-0.027670562394638436,-0.0033437616633031284,-0.0020238568822008255,-0.016146660880742136,-0.0032070870572658955,-0.04429360094017135,-0.04015303556816648,0.050550893953485464,0.004005966286380605,-0.0023690470396694275,0.01030945137015998,-0.002759151832718766,0.006709134952458469,0.023614307026255447,0.05786373056937745,-0.007305411357277686,0.012237987327320529,0.012290286893808575,-0.0018492547052993945,-0.012487067779795009,0.010880082485354414,0.013165253112322025,-0.039476567884204145,-0.027954648468217158,-0.007553588052006723,-0.01790317825544019,0.0030638198375641406,-0.00882627753918919,0.016340297872166985,-0.0043604342717044305,-0.021754385812411847,0.13494797207090578,-0.048316303226750956,-0.00041783583826781494,0.165340431207421,-0.07227878696346689,-0.05111929922523504,-0.0372338024509509,0.10188239175776027,0.0983585268685048,0.006239436794409108,-0.06109503503515009,-0.05136703671050825,0.024359675847669387,-0.029053701677139557,-0.035219907394573285,-0.11167082485975621,0.11891711034936275,-0.012290459464927425,0.013299962182971688
2011_2016_average_years_since_upzoning,0.128877096184358,0.128877096184358,0.128877096184358,0.128877096184358,0.006034043448809223,0.003955490245003012,-0.008657790517038619,1.0,0.5102095675177786,0.0016777605254749272,0.004564951821650265,-0.0365265543419424,-0.05596099648362529,-0.08338409750863815,-0.07004423824278921,-0.06521972268970211,-0.09621202703028464,0.035982832899873314,-0.020279921983219745,0.009092316618785358,0.06089074852689427,0.0770680586269169,0.027234535262793683,-0.0754924697435631,0.0481739188691576,0.11132463463343584,-0.009811031290178965,-0.09118891566395632,0.10071923466062217,-0.06652328898798003,-0.04527249512840155,0.02288502132359795,-0.05788227526509011,0.05363853797234138,-0.04686647292899769,-0.1065842052995049,-0.05770078497591041,0.004093348766461588,0.06491381481841776,0.10469226716006871,0.03371324119762085,-0.07660863060171827,0.028898238221495474,0.05400356646703078,-0.0054692818681861,-0.08693164857135105,0.07398855783141918,-0.05063164390489815,-0.0880916561673037,-0.020883365136714103,-0.022503421593792705,-0.009402635290317866,0.010181889972883421,0.2016596905606433,0.05422539481676517,0.009674027339450969,-0.0008623414557269305,-0.02234357662461619,-0.0060520576951918455,-0.007610623799673841,0.009914354809307581,0.10755221462538424,-0.017486895607969722,0.00798975125564243,0.04804980729310751,-0.024105738753632526,0.035945407901563683,0.07145122306594696,-0.04721695040403476,0.06052145248463237,-0.1143853680662684,-0.09612501360682037,-0.027429724205216045,0.188720777510599,-0.1702010992895764,-0.10335681580879463,0.0826762322418939,0.03262810079061511,-0.07251677103947021,-0.022225935351860644,0.07139601557691351,0.033501026269883605,-0.17014899378603443,-0.0877299526186278,0.022893270700173687,0.08135555934615528,0.043429045106664954,0.017598356746393966,0.07259620520756317,0.028345099019814243
2011_2019_average_years_since_upzoning,0.14986411417170137,0.14986411417170137,0.14986411417170137,0.14986411417170137,0.48778561587625113,0.3391026663478926,-0.12630028686369663,0.5102095675177786,1.0,0.1420996655641555,0.08459070921042816,0.014641847032363648,-0.03193266478052547,-0.07029374877625451,-0.03977519810841865,-0.186866226514023,0.050273877166955895,0.08318088658256793,0.05676220342457108,-0.06535549194461251,0.13722114323501938,-0.12450419499386707,-0.022413832931371013,-0.006496596743630141,0.0552951767924563,0.09008165218007794,-0.029354182085243187,-0.017881731622326133,-0.13765861880575997,-0.002403624865076413,0.009791681345197374,0.041547730099232585,-0.019806811991159218,0.060167046944785314,-0.007877196777958175,0.042196343052616735,0.03256409165969029,-0.03290014306603514,0.12546721289079338,-0.0977449490273497,-0.02175691641658518,-0.03444562271766856,0.061947775069801016,0.08330412350228682,-0.06756873733875479,-0.01782019128891176,-0.10610451193980734,0.0019940455797181336,-0.011292988170293316,-0.02244095002366121,0.04640306921007002,0.0010998807263923108,-0.019241976923888557,0.06579075628223094,0.06474006378227146,-0.06338162017353395,0.05017297336824971,-0.06809937312066784,-0.002450500174533202,0.037736165657552,-0.012948133665648155,0.027511881276494198,0.05263412953204139,-0.014760363404074245,-0.06271577616059888,-0.006552643923761847,0.030297000591308278,0.09758571358267717,-0.08810570674698248,0.06503147771206425,-0.026584490066576705,-0.20162802869198562,-0.24785362583361475,0.17558134878075626,0.028156636235369473,0.014677867727700564,-0.12114574640352353,-0.16881513112468047,-0.22244384483138432,-0.19841268940387916,-0.004828926720396,-0.050969356627083094,-0.20052281759183943,0.22694627329058542,-0.005993758704766842,-0.18635201252390812,0.14792900413164875,-0.09527558780033696,0.0340881066346197,-0.001580176187723768
2016_2019_average_years_since_upzoning,0.020710075088956822,0.020710075088956822,0.020710075088956822,0.020710075088956822,-0.013585016573841703,0.2402632712015137,0.29928558753875695,0.0016777605254749272,0.1420996655641555,1.0,-0.019843972321364884,-0.02766183305717696,-0.029861894065404345,-0.15479481735526734,-0.03889729537362092,-0.010130905754606782,0.19519240739959226,0.045892468889938316,0.14587652999923162,-0.1240519765823361,-0.10430841123417614,-0.17321871313961265,0.03101001119060106,-0.050049983579302335,-0.016639051330145094,0.0939369422428288,-0.11542507990453661,-0.0951938569230249,-0.1596358081073524,0.12239279016562453,-0.07597922186201518,0.04324843392967238,-0.013939936674416398,0.07034055056801226,0.06635618183570778,-0.05851184984646032,0.11262034115766577,-0.08869196900073283,-0.12913616978882958,-0.18685172099563704,-0.03383887566509245,0.028981860741610223,-0.006517643765499556,0.023982012886718748,-0.14225144447011137,-0.14336529424228267,-0.17653206942586355,0.10796252921017076,-0.034189032025560916,0.021565318849035342,-0.011710923545485238,0.10580878008722039,0.11327118288006488,0.1368576853535119,0.12775794664414408,-0.09925685985788932,0.05521545936534115,-0.012596554160034098,0.08471521255434857,-0.10644192680152512,-0.013905276384132532,0.10243250165832753,-0.010530290590844291,-0.025240570058852968,0.004726891376368789,0.025731460663782606,-0.07897175071979799,0.03600809651361756,-0.004178491498179861,-0.018147454439362054,-0.05337171383205589,0.07029735906905964,-0.262350040266191,0.23336305563450424,0.3458839242841449,-0.22099685263037533,-0.2810015039771956,-0.22059585123716616,-0.02872330205818573,0.1541364255115149,-0.11802707692772206,-0.2356068828745032,-0.135521708952519,0.2963273000101775,0.02965583416838432,-0.29846021297454756,-0.09530545142868058,0.1955530502699039,-0.033534087897279914,0.0012696654607765405
