ITZ_GEOID,2010_2014_percent_upzoned,2010_2018_percent_upzoned,2014_2018_percent_upzoned,d_2010_2014_resid_units,d_2010_2018_resid_units,d_2014_2018_resid_units,orig_percent_residential,orig_percent_mixed_development,orig_percent_subsidized_properties,2002_2010_percent_upzoned,d_2002_2010_resid_units,d_2010_2018_pop_density,d_2010_2018_resid_unit_density,d_2010_2018_per_capita_income,d_2010_2018_percent_non_hispanic_or_latino_white_alone,d_2010_2018_percent_non_hispanic_black_alone,d_2010_2018_percent_hispanic_any_race,d_2010_2018_percent_non_hispanic_asian_alone,d_2010_2018_percent_multi_family_units,d_2010_2018_percent_occupied_housing_units,d_2010_2018_median_gross_rent,d_2010_2018_median_home_value,d_2010_2018_percent_households_with_people_under_18,d_2010_2018_percent_of_households_in_same_house_year_ago,d_2010_2018_percent_bachelor_degree_or_higher,d_2010_2018_percent_car_commuters,d_2010_2018_percent_public_transport_commuters,d_2010_2018_percent_public_transport_trips_under_45_min,d_2010_2018_percent_car_trips_under_45_min,d_2010_2014_pop_density,d_2010_2014_resid_unit_density,d_2010_2014_per_capita_income,d_2010_2014_percent_non_hispanic_or_latino_white_alone,d_2010_2014_percent_non_hispanic_black_alone,d_2010_2014_percent_hispanic_any_race,d_2010_2014_percent_non_hispanic_asian_alone,d_2010_2014_percent_multi_family_units,d_2010_2014_percent_occupied_housing_units,d_2010_2014_median_gross_rent,d_2010_2014_median_home_value,d_2010_2014_percent_households_with_people_under_18,d_2010_2014_percent_of_households_in_same_house_year_ago,d_2010_2014_percent_bachelor_degree_or_higher,d_2010_2014_percent_car_commuters,d_2010_2014_percent_public_transport_commuters,d_2010_2014_percent_public_transport_trips_under_45_min,d_2010_2014_percent_car_trips_under_45_min,d_2014_2018_pop_density,d_2014_2018_resid_unit_density,d_2014_2018_per_capita_income,d_2014_2018_percent_non_hispanic_or_latino_white_alone,d_2014_2018_percent_non_hispanic_black_alone,d_2014_2018_percent_hispanic_any_race,d_2014_2018_percent_non_hispanic_asian_alone,d_2014_2018_percent_multi_family_units,d_2014_2018_percent_occupied_housing_units,d_2014_2018_median_gross_rent,d_2014_2018_median_home_value,d_2014_2018_percent_households_with_people_under_18,d_2014_2018_percent_of_households_in_same_house_year_ago,d_2014_2018_percent_bachelor_degree_or_higher,d_2014_2018_percent_car_commuters,d_2014_2018_percent_public_transport_commuters,d_2014_2018_percent_public_transport_trips_under_45_min,d_2014_2018_percent_car_trips_under_45_min,orig_pop_density,orig_percent_non_hispanic_or_latino_white_alone,orig_percent_non_hispanic_black_alone,orig_percent_hispanic_any_race,orig_percent_non_hispanic_asian_alone,orig_median_age,orig_per_capita_income,orig_resid_unit_density,orig_percent_multi_family_units,orig_percent_occupied_housing_units,orig_median_gross_rent,orig_median_home_value,orig_percent_households_with_people_under_18,orig_percent_of_households_in_same_house_year_ago,orig_percent_bachelor_degree_or_higher,orig_percent_car_commuters,orig_percent_public_transport_commuters,orig_percent_public_transport_trips_under_45_min,orig_percent_car_trips_under_45_min
SI17,0.0,0.0,0.0,43,45,2,86.06965174129353,8.706467661691542,0,0.0,-41.0,-392.0044273441208,128.4720392136196,8165.0,-14.399999999999999,8.700000000000001,1381.7,-3.4000000000000004,-9.500000000000007,-4.400000000000006,356.0,76000.0,-0.10000000000000142,-6.6000000000000085,5.400000000000006,-0.5493920972644375,-7.84422492401216,-4.818265374331551,19.237792006754866,-233.88499446582045,59.29478732936286,8022.0,-29.099999999999998,5.499999999999998,-14.099999999999998,2.5999999999999996,-16.4,-2.4000000000000057,106.0,1000.0,9.799999999999997,-2.5,-6.299999999999997,5.198051948051948,-13.849567099567096,1.9786096256684509,12.199049316696374,-158.11943287830036,69.17725188425675,143.0,14.7,3.200000000000003,1395.8,-6.0,6.8999999999999915,-2.0,250.0,75000.0,-9.899999999999999,-4.1000000000000085,11.700000000000003,-5.747444045316385,6.0053421755549365,-6.796875000000002,7.038742690058491,5086.175090918674,60.9,14.4,43.3,12.8,31.2,23131.0,2088.4941759342223,67.5,86.4,965.0,466900.0,28.5,99.4,41.3,46.75,46.75,13.02139037433155,38.68983957219251
SI6,0.0,0.19157088122605365,0.0,14,21,7,77.60617760617761,5.984555984555985,0.3831417624521073,0.0,-114.0,81.2015537200823,-59.22936859582455,-2275.0,-10.5,-0.9000000000000004,2328.1,7.6,5.199999999999989,-1.5,75.0,50900.0,-6.300000000000001,-7.200000000000003,-7.300000000000004,2.0049297203806304,-0.972278736221206,-1.7311862936456306,-8.39976883623492,-126.10123636530352,-43.94437024851504,-355.0,-9.399999999999991,-6.1000000000000005,-8.999999999999998,2.799999999999999,-2.4000000000000057,-2.0999999999999943,-189.0,-29900.0,-9.0,-2.200000000000003,-3.6000000000000014,9.37769185752142,-10.975216828095924,-4.645182835197863,-12.727579669835468,207.30279008538582,-15.28499834730951,-1920.0,-1.1000000000000085,5.2,2337.1,4.800000000000001,7.599999999999994,0.5999999999999943,264.0,80800.0,2.6999999999999993,-5.0,-3.700000000000003,-7.372762137140789,10.002938091874718,2.9139965415522324,4.327810833600548,2164.7378909377153,80.3,11.3,22.9,5.9,48.7,40160.0,1314.5098578686216,74.30000000000001,86.5,761.0,386100.0,22.5,94.4,41.7,58.41371918542337,34.08360128617363,6.415094339622642,33.37614678899082
SI7,0.0,0.0,0.0,47,40,-7,80.0,1.4545454545454546,0.7272727272727273,0.0,10.0,1004.3320717235465,-61.683387082234276,-1604.0,13.5,-10.799999999999997,5153.3,0.10000000000000009,-4.299999999999997,6.1000000000000085,23.0,124600.0,2.299999999999997,9.599999999999994,-4.199999999999996,5.668472443743099,-5.012564993167523,-0.5602144053601334,,2392.9990937286993,-60.10176177243329,-1523.0,-8.400000000000002,-15.799999999999997,9.099999999999998,-1.4000000000000001,-2.6999999999999886,5.400000000000006,60.0,-5100.0,10.100000000000001,7.799999999999997,-4.599999999999998,7.62297310083698,-8.189907481505124,0.3551420911528158,-28.12395156796788,-1388.6670220051528,-1.5816253098009838,-81.0,21.900000000000002,5.0,5144.2,1.5000000000000002,-1.6000000000000085,0.7000000000000028,-37.0,129700.0,-7.800000000000004,1.7999999999999972,0.40000000000000213,-1.954500657093881,3.177342488337601,-0.9153564965129493,,7191.650283664499,23.1,52.4,28.7,3.1,35.1,23884.0,3971.461152909954,97.6,86.8,919.0,168700.0,25.6,86.4,33.3,22.5418410041841,65.3765690376569,1.9839999999999995,38.35266821345708
SI3,0.5988023952095808,0.5988023952095808,0.0,1,-4,-5,40.963855421686745,9.63855421686747,0.5988023952095808,0.0,-70.0,402.30770547652037,321.84616438121657,9796.0,3.8000000000000043,-2.0,1945.6,-8.0,0.5999999999999943,-3.9000000000000057,200.0,97300.0,-1.9000000000000021,7.599999999999994,4.700000000000003,13.0745904648849,-8.931299307342996,-3.3976896032144643,-54.57933248102712,-159.21113450772964,143.80360536182025,-347.0,-13.5,5.800000000000001,-2.6999999999999993,-9.0,-1.2000000000000028,-9.799999999999997,94.0,18600.0,-0.20000000000000284,3.0,-4.799999999999997,3.400636266151814,-6.160931016828705,-2.560404307864654,-6.510156170256224,561.51883998425,178.04255901939632,10143.0,17.300000000000004,-7.800000000000001,1948.3,1.0,1.7999999999999972,5.8999999999999915,106.0,78700.0,-1.6999999999999993,4.599999999999994,9.5,9.673954198733085,-2.7703682905142912,-0.8372852953498104,-48.0691763107709,2965.0933867461013,54.4,13.5,21.4,26.6,37.8,36560.0,1696.540153732902,97.7,89.2,1055.0,345800.0,17.1,76.0,47.4,20.70437566702241,57.950907150480255,6.961325966850828,89.38144329896907
SI8,0.0,0.0,0.0,12,22,10,87.02445652173913,2.3097826086956523,0,0.0,-78.0,-113.87369530152046,138.90088108207556,3273.0,-7.0,3.2,5408.9,4.700000000000001,2.900000000000013,-4.0,42.0,18600.0,-2.8999999999999986,-4.099999999999994,0.8000000000000007,-12.737033390535444,12.828119668910496,-0.32777205247472363,2.788612757223234,309.08574438984397,62.567964451385706,3733.0,-10.5,-3.6,1.2999999999999972,-3.799999999999999,0.8000000000000114,2.0999999999999943,114.0,-19700.0,5.5,-1.7999999999999972,4.899999999999999,-1.2627476514896614,-1.7638044629343952,0.3673539071900098,0.48666768341077926,-422.9594396913644,76.33291663068985,-460.0,3.5,6.800000000000001,5407.6,8.5,2.1000000000000014,-6.099999999999994,-72.0,38300.0,-8.399999999999999,-2.299999999999997,-4.099999999999998,-11.474285739045783,14.591924131844891,-0.6951259596647335,2.3019450738124547,6912.5087125890495,69.7,5.2,24.1,15.1,34.6,25795.0,2581.554213264158,41.49999999999999,93.7,1290.0,403100.0,39.3,96.8,30.4,59.8804950917627,34.3576611182245,2.2111801242236027,10.299358517462581
SI9,0.0,0.0,0.0,1,10,9,89.68481375358166,0.0,0,0.0,4.0,-232.88208834856414,103.50315037713972,-3514.0,6.5,7.700000000000003,1804.9,-1.5,3.5,-3.799999999999997,149.0,-59200.0,-12.2,11.400000000000006,2.3999999999999986,-7.731308430840567,5.048760615198525,-4.983011265206114,48.58769483769485,353.6357637885603,405.3873389771302,-6231.0,-4.699999999999999,-0.10000000000000142,14.199999999999996,-13.3,17.900000000000006,-11.799999999999997,86.0,-98500.0,7.5,-3.799999999999997,-5.600000000000001,-7.78490265133896,5.845238886304735,-4.921322382006934,43.78095001948214,-586.5178521371245,-301.88418859999047,2717.0,11.2,7.800000000000004,1790.7,11.8,-14.400000000000006,8.0,63.0,39300.0,-19.7,15.200000000000003,8.0,0.05359422049839324,-0.79647827110621,-0.061688883199180644,4.806744818212707,8107.746779542603,27.5,39.5,21.1,13.8,35.2,29864.0,3613.985000668458,63.3,82.7,1092.0,463700.0,42.9,86.5,33.1,34.76510067114094,56.77852348993289,9.881796690307329,30.347490347490343
SI20.01,0.0,0.0,0.0,2,9,7,93.72294372294373,0.4329004329004329,0,0.0,-2.0,441.5253582052501,-36.62422326126534,5417.0,-0.7000000000000028,5.0,2710.4,-7.300000000000001,3.499999999999993,3.299999999999997,275.0,-62100.0,7.600000000000001,-1.5999999999999943,2.700000000000003,-2.5028104591989973,3.5596289335701883,1.490519622177354,0.6108155811507316,0.0,32.554865121124294,11659.0,-5.799999999999997,2.5999999999999996,4.200000000000001,-6.9,-2.3999999999999915,2.700000000000003,78.0,-126000.0,-1.2000000000000028,-3.3999999999999915,-5.399999999999999,1.0200159616919393,-1.5086352753391807,2.6238938662042584,-1.2650580196975625,441.5253582052501,-69.17908838238964,-6242.0,5.099999999999994,2.4000000000000004,2706.2,-0.40000000000000036,5.899999999999984,0.5999999999999943,197.0,63900.0,8.800000000000004,1.7999999999999972,8.100000000000001,-3.5228264208909366,5.068264208909369,-1.1333742440269043,1.8758736008482941,5094.836391455975,76.3,1.2,10.6,15.9,39.5,31244.0,2240.181656147376,53.0,92.8,1104.0,449000.0,27.6,99.1,33.8,58.33998403830806,38.06863527533918,2.9559748427672954,23.515731874145008
SI20.02,0.0,0.0,0.0,1,12,11,94.16809605488851,1.7152658662092624,0,0.0,1.0,556.8523637314388,-37.71009235201586,-6244.0,6.300000000000011,-4.8999999999999995,3458.2,0.0,-9.100000000000009,11.100000000000009,500.0,76400.0,-5.200000000000003,-4.400000000000006,10.899999999999999,2.421426845244909,-5.972958878671093,-2.6576259521686776,1.3932165753375614,267.74165569931483,-175.98043097607524,-5533.0,0.8000000000000114,-6.3,0.40000000000000036,5.400000000000002,-9.000000000000014,10.900000000000006,381.0,-32300.0,-1.6000000000000014,-1.5,9.299999999999997,6.0647626660852865,-11.900306432663541,0.26373931050018573,-1.8065710926422156,289.11070803212397,138.27033862405938,-711.0,5.5,1.4,3457.8,-5.400000000000002,-0.09999999999999432,0.20000000000000284,119.0,108700.0,-3.6000000000000014,-2.9000000000000057,1.6000000000000014,-3.6433358208403774,5.927347553992448,-2.9213652626688633,3.199787667979777,3796.149296769628,75.6,6.6,4.8,11.7,38.5,44979.0,1675.5851035079183,45.60000000000001,86.1,1190.0,462100.0,38.2,96.2,35.6,51.82648401826484,48.17351598173516,5.165876777251186,20.558002936857562
SI132.04,0.06997900629811056,0.06997900629811056,0.0,0,0,0,93.28201539538138,0.6997900629811057,0,0.0,-42.0,166.47658994710946,47.83810055951449,7211.0,5.5,-1.1,4786.5,-4.7,6.500000000000007,-0.30000000000001137,270.0,52900.0,-1.5,0.9000000000000057,5.100000000000001,6.594131917747134,-2.5988107484373657,0.05499733576920107,-1.7754872055583801,186.56859218210593,-23.91905027975713,4880.0,-4.200000000000003,-0.7000000000000001,0.0,-1.0,0.5,0.3999999999999915,302.0,13400.0,0.10000000000000142,-0.8999999999999915,5.800000000000001,7.262537827473025,-0.7897011545382853,-2.126148945560609,0.8947788252356759,-20.09200223499647,71.75715083927162,2331.0,9.700000000000003,-0.4,4786.5,-3.7,6.000000000000007,-0.7000000000000028,-32.0,39500.0,-1.6000000000000014,1.7999999999999972,-0.6999999999999993,-0.668405909725891,-1.8091095938990804,2.18114628132981,-2.670266030794056,4419.2837296879425,91.2,1.1,6.5,5.9,43.4,32913.0,1816.8910592503578,34.4,95.9,1191.0,480900.0,27.4,93.3,23.0,64.63527239150508,28.116343490304708,2.6436781609195408,8.57857142857143
SI21,0.0992063492063492,0.0992063492063492,0.0,99,166,67,74.29718875502007,8.032128514056225,0,0.0,-230.0,457.1747562536698,220.56676836799852,4702.0,0.20000000000000284,9.0,4021.0,-3.1000000000000005,3.3999999999999986,-12.599999999999994,323.0,61300.0,2.8999999999999986,-5.1000000000000085,8.899999999999999,0.13771160519842596,-4.004863627007737,-1.1212269975156577,-0.20138823487489432,344.8862196299615,170.83898786321333,1944.0,-23.799999999999997,2.5,2.6000000000000014,-5.1000000000000005,3.799999999999983,-7.3999999999999915,75.0,31300.0,0.7000000000000028,-3.700000000000003,-5.800000000000001,3.373242271547362,-3.737072974361105,-1.8191134824916104,-3.397473573798951,112.2885366237083,49.72778050478519,2758.0,24.0,6.5,4018.4,2.0,-0.39999999999998437,-5.200000000000003,248.0,30000.0,2.1999999999999957,-1.4000000000000057,14.7,-3.235530666348936,-0.2677906526466316,0.6978864849759527,3.196085338924057,2799.994866809754,46.9,24.6,40.0,9.9,32.2,19791.0,1147.7492564894753,57.60000000000001,93.6,1123.0,308300.0,38.9,95.4,22.1,37.53071253071253,53.62407862407862,4.627720504009164,26.54664484451719
