ITZ_GEOID,orig_pop_density,orig_percent_non_hispanic_or_latino_white_alone,orig_percent_non_hispanic_black_alone,orig_percent_hispanic_any_race,orig_percent_non_hispanic_asian_alone,orig_median_age,orig_per_capita_income,orig_resid_unit_density,orig_percent_multi_family_units,orig_percent_occupied_housing_units,orig_median_gross_rent,orig_median_home_value,orig_percent_households_with_people_under_18,orig_percent_of_households_in_same_house_year_ago,orig_percent_bachelor_degree_or_higher,orig_percent_car_commuters,orig_percent_public_transport_commuters,orig_percent_public_transport_trips_under_45_min,orig_percent_car_trips_under_45_min
SI17,48010.11537522183,57.1,16.9,35.7,21.1,36.1,25160.0,21416.624583924655,64.8,84.9,952.0,467000.0,35.3,99.7,34.7,46.94767441860465,44.76744186046512,17.824675324675326,50.86687306501548
SI6,23239.34735136256,77.3,11.5,22.7,8.9,49.1,36761.0,14252.095322561288,76.3,83.3,635.0,394700.0,20.9,94.0,37.1,61.782786885245905,31.9672131147541,4.294871794871794,25.024875621890548
SI7,80015.02379323887,27.9,51.2,25.7,2.5,33.0,23721.0,43650.74915018393,97.6,88.4,986.0,165100.0,25.3,89.2,36.8,21.927820922795796,64.27592507994518,1.4854299928926795,37.083333333333336
SI18,10733.462851100683,76.5,12.7,19.2,0.9,25.3,18610.0,4072.7356639623144,89.10000000000001,68.4,1474.0,,61.5,75.5,17.3,57.30337078651685,3.183520599250936,588.2352941176471,64.83660130718953
SI3,30976.2097657876,50.4,16.8,23.9,30.3,36.6,35937.0,18224.551730139163,99.2,83.6,1103.0,344300.0,17.0,80.0,46.0,21.305418719211822,52.83251231527094,6.96969696969697,109.19075144508669
SI8,77692.18724287167,67.6,7.3,29.5,13.5,35.1,27274.0,28743.954156776726,46.7,94.9,1303.0,374200.0,40.2,96.3,30.5,57.66843971631206,33.86524822695036,2.526178010471204,11.345119139123751
SI9,91216.8260277438,29.0,46.1,23.0,6.4,34.0,30528.0,39596.92244359566,65.3,81.1,1197.0,463200.0,40.6,85.8,36.7,34.106728538283065,52.32018561484919,9.57871396895787,49.52380952380953
SI20.01,52256.03232346119,75.7,2.3,12.7,15.5,41.3,33409.0,24200.719076875368,50.9,93.2,1113.0,427900.0,26.5,95.0,37.2,64.133219470538,31.767719897523484,3.763440860215054,22.583222370173104
SI20.02,41808.52975594519,78.1,6.4,4.7,11.6,39.3,44580.0,17575.818819732296,41.0,88.6,1391.0,463400.0,32.4,93.3,33.6,54.98857578065499,44.706778370144704,6.183986371379897,21.648199445983376
SI132.04,50977.57786388961,89.5,1.2,6.6,6.6,43.5,34252.0,19484.763094642247,37.4,95.5,1377.0,474900.0,36.0,88.4,25.7,65.69872958257713,29.12885662431942,2.445482866043614,9.399171270718233
SI21,29439.59560164286,52.6,22.3,34.2,10.1,34.0,23784.0,12535.56974005438,53.5,91.5,1257.0,338100.0,38.0,96.5,23.2,38.21039903264813,53.92986698911729,4.13677130044843,26.060126582278482
SI27,93641.09350447911,38.4,20.3,28.8,21.0,32.9,15105.0,21626.01929878466,66.2,89.7,1380.0,384200.0,43.5,91.1,21.3,47.36,48.48,12.73927392739274,55.641891891891895
