ITZ_GEOID,pop_density,percent_non_hispanic_or_latino_white_alone,percent_non_hispanic_black_alone,percent_hispanic_any_race,percent_non_hispanic_asian_alone,median_age,per_capita_income,resid_unit_density,percent_multi_family_units,percent_occupied_housing_units,median_gross_rent,median_home_value,percent_households_with_people_under_18,percent_of_households_in_same_house_year_ago,percent_bachelor_degree_or_higher,percent_car_commuters,percent_public_transport_commuters,percent_public_transport_trips_under_45_min,percent_car_trips_under_45_min
SI17,52300.5318895511,36.0,17.2,27.4,8.6,41.7,29738.0,23721.39378583708,54.4,86.4,1466.0,588400.0,23.9,88.8,47.0,56.32,34.72,13.179723502304148,50.51136363636365
SI6,23763.77510132694,57.6,7.7,14.2,19.1,57.2,36171.0,13542.575425550662,75.6,80.8,897.0,458700.0,17.8,88.3,35.3,56.09264853977845,36.75730110775428,4.493150684931506,28.473967684021545
SI7,77580.52413314671,18.7,45.1,29.6,3.8,38.1,27719.0,41590.78789933671,91.2,90.4,1085.0,346900.0,23.1,95.7,33.0,30.613305613305613,59.771309771309774,1.2,22.37691001697793
SI18,6062.705241543901,60.4,8.3,21.4,3.1,29.3,30550.0,2113.698255980442,94.6,88.3,1963.0,,63.0,84.7,42.8,57.09342560553633,7.26643598615917,90.47619047619048,108.18181818181819
SI3,36928.211999189974,48.5,7.8,24.0,17.8,40.3,50617.0,21762.584017486704,99.3,87.8,1325.0,471400.0,14.6,81.6,55.7,29.757785467128027,54.06574394463668,2.7840000000000003,37.41279069767441
SI8,70553.34202117924,50.5,8.3,18.3,22.2,39.2,31225.0,29107.631177504452,46.199999999999996,87.3,1339.0,425800.0,33.9,92.8,30.0,42.083333333333336,53.148148148148145,1.9076655052264808,15.973597359735972
SI9,70095.37267271915,24.1,27.5,35.7,8.7,38.4,30378.0,39411.23933717786,63.900000000000006,72.6,1358.0,453700.0,24.4,96.8,42.6,24.486571879936808,66.0347551342812,4.0669856459330145,101.48387096774195
SI20.01,54796.56029895218,47.9,11.4,23.7,11.2,37.3,36388.0,23499.883773291647,63.9,92.5,1430.0,463700.0,29.2,90.6,40.0,52.571860816944024,45.99092284417549,3.19078947368421,20.820143884892083
SI20.02,46990.62260271768,72.8,6.0,3.7,12.8,41.6,46191.0,17548.758282673432,34.10000000000001,96.1,1705.0,590000.0,34.2,93.8,44.5,55.093555093555096,41.58004158004158,2.8999999999999995,20.427672955974842
SI132.04,50081.60831355457,82.5,0.0,14.1,2.7,41.7,40608.0,19968.792621834735,41.3,96.2,1435.0,553900.0,27.5,95.2,32.1,68.84848484848484,27.717171717171716,2.7696793002915454,6.760563380281689
SI21,38582.273531889135,22.4,28.6,35.8,7.3,33.2,29020.0,17681.02398597202,70.8,80.5,1532.0,388300.0,36.9,87.2,32.9,38.980509745127435,48.425787106446776,2.136222910216719,19.666666666666668
SI27,75282.62384129611,30.7,23.4,33.1,6.1,47.4,11772.0,22098.95411446385,76.30000000000001,80.4,1577.0,393900.0,38.3,86.8,14.5,41.452991452991455,42.94871794871795,11.393034825870647,40.30927835051546
SI29,96055.45381098689,8.5,44.4,41.5,5.6,32.8,17207.0,42328.137026024,76.3,84.2,501.0,335300.0,33.4,97.9,12.9,34.67432950191571,59.514687100893994,3.326180257510729,28.489871086556168
SI11,109728.38020541063,15.7,34.1,40.5,2.4,35.0,23365.0,49831.38569980174,88.5,76.9,1316.0,386800.0,35.9,89.7,34.2,26.666666666666668,57.57575757575758,3.263157894736842,41.54040404040404
SI33,47262.910068653946,41.2,31.8,15.7,9.3,39.7,38893.0,19013.524738362787,62.7,89.7,1511.0,579300.0,33.4,93.7,41.2,53.08574549426543,36.20972146368105,3.3031674208144794,10.421810699588478
SI36,74285.04175506924,45.3,14.8,15.6,20.9,37.3,32668.0,23940.07875834035,38.400000000000006,95.3,1732.0,459600.0,37.1,88.5,40.1,58.30285296269203,36.79590343818581,5.069582504970179,19.209535759096614
SI39,43901.371282300206,51.2,20.4,18.8,5.7,34.7,41899.0,19696.490651065666,89.7,95.2,1589.0,512500.0,25.4,86.7,39.4,55.56464811783961,29.95090016366612,4.617486338797813,18.335787923416788
SI40,113886.33412442586,8.2,45.5,31.8,14.5,34.5,21463.0,44481.74398659636,68.9,92.3,796.0,403800.0,34.1,94.2,21.3,52.8023598820059,44.332069110830176,1.3022813688212929,6.352753391859537
SI47,33580.46696800478,72.9,7.5,8.7,10.3,34.9,39812.0,12366.710295168961,56.5,94.3,1440.0,463100.0,21.1,87.7,48.1,54.785229841748304,29.464958553127357,1.6368286445012787,20.563961485557083
