,2010_2014_percent_upzoned,2010_2018_percent_upzoned,2014_2018_percent_upzoned,d_2010_2014_resid_units,d_2010_2018_resid_units,d_2014_2018_resid_units,orig_percent_residential,orig_percent_mixed_development,orig_percent_subsidized_properties,2002_2010_percent_upzoned,d_2002_2010_resid_units,d_2010_2018_pop_density,d_2010_2018_resid_unit_density,d_2010_2018_per_capita_income,d_2010_2018_percent_non_hispanic_or_latino_white_alone,d_2010_2018_percent_non_hispanic_black_alone,d_2010_2018_percent_hispanic_any_race,d_2010_2018_percent_non_hispanic_asian_alone,d_2010_2018_percent_multi_family_units,d_2010_2018_percent_occupied_housing_units,d_2010_2018_median_gross_rent,d_2010_2018_median_home_value,d_2010_2018_percent_households_with_people_under_18,d_2010_2018_percent_of_households_in_same_house_year_ago,d_2010_2018_percent_bachelor_degree_or_higher,d_2010_2018_percent_car_commuters,d_2010_2018_percent_public_transport_commuters,d_2010_2018_percent_public_transport_trips_under_45_min,d_2010_2018_percent_car_trips_under_45_min,d_2010_2014_pop_density,d_2010_2014_resid_unit_density,d_2010_2014_per_capita_income,d_2010_2014_percent_non_hispanic_or_latino_white_alone,d_2010_2014_percent_non_hispanic_black_alone,d_2010_2014_percent_hispanic_any_race,d_2010_2014_percent_non_hispanic_asian_alone,d_2010_2014_percent_multi_family_units,d_2010_2014_percent_occupied_housing_units,d_2010_2014_median_gross_rent,d_2010_2014_median_home_value,d_2010_2014_percent_households_with_people_under_18,d_2010_2014_percent_of_households_in_same_house_year_ago,d_2010_2014_percent_bachelor_degree_or_higher,d_2010_2014_percent_car_commuters,d_2010_2014_percent_public_transport_commuters,d_2010_2014_percent_public_transport_trips_under_45_min,d_2010_2014_percent_car_trips_under_45_min,d_2014_2018_pop_density,d_2014_2018_resid_unit_density,d_2014_2018_per_capita_income,d_2014_2018_percent_non_hispanic_or_latino_white_alone,d_2014_2018_percent_non_hispanic_black_alone,d_2014_2018_percent_hispanic_any_race,d_2014_2018_percent_non_hispanic_asian_alone,d_2014_2018_percent_multi_family_units,d_2014_2018_percent_occupied_housing_units,d_2014_2018_median_gross_rent,d_2014_2018_median_home_value,d_2014_2018_percent_households_with_people_under_18,d_2014_2018_percent_of_households_in_same_house_year_ago,d_2014_2018_percent_bachelor_degree_or_higher,d_2014_2018_percent_car_commuters,d_2014_2018_percent_public_transport_commuters,d_2014_2018_percent_public_transport_trips_under_45_min,d_2014_2018_percent_car_trips_under_45_min,orig_pop_density,orig_percent_non_hispanic_or_latino_white_alone,orig_percent_non_hispanic_black_alone,orig_percent_hispanic_any_race,orig_percent_non_hispanic_asian_alone,orig_median_age,orig_per_capita_income,orig_resid_unit_density,orig_percent_multi_family_units,orig_percent_occupied_housing_units,orig_median_gross_rent,orig_median_home_value,orig_percent_households_with_people_under_18,orig_percent_of_households_in_same_house_year_ago,orig_percent_bachelor_degree_or_higher,orig_percent_car_commuters,orig_percent_public_transport_commuters,orig_percent_public_transport_trips_under_45_min,orig_percent_car_trips_under_45_min
2010_2014_percent_upzoned,1.0,0.9100288532731678,-0.026857333118414116,-0.010294164801722842,0.01903124760438411,0.029375746252074824,0.01981280602473495,0.0474208241380055,-0.006974955696878015,0.01502554315592132,0.016374832131703015,0.015729377076663564,0.055833675477791916,0.046853669303266426,0.12496496171569543,-0.10233277989862671,-0.011329563604789754,-0.03813508203682956,0.024974959220380278,-0.012984518565273488,0.03354950253843311,0.08414050614504626,-0.06409171971139888,0.010115198431830336,0.09762209974401194,-0.0028144528420730457,0.03550725093450646,0.0017802808935786481,-0.01177101623854035,0.025779383122370887,0.008381305692507744,0.029031395935191738,0.03027651662271776,-0.0980726940999787,-0.0018391405837380652,-0.01816190555492998,0.010031952959309169,0.031219383088755662,0.026549008547244325,-0.002493847664663892,-0.04179920298766532,0.008512566673426128,0.056380675925216464,-0.005325193130762863,0.02793465170519069,-0.004271691612451169,-0.01697934489158739,-0.007825435776268359,0.08623419536958206,0.03604403637334989,0.07916449162631073,-0.02023226717970737,-0.009485711597111798,-0.02545687269007178,0.01446272527821366,-0.04757022979951808,0.023999131637751036,0.11343590078010682,-0.03683351842489471,0.0007372264504559433,0.07106682259071508,0.0028986350226503314,0.010902338989790499,0.006769848518875279,-0.0033026546686045115,0.04513836406878313,-0.08552699036486755,0.03787924093120791,0.07185684453921666,-0.009665449951979242,-0.10214006107839864,-0.06201998825080649,0.036425695861563155,0.09282330350324337,-0.04314920790260823,-0.018259348437890236,-0.042802065023185606,0.009560007939766477,-0.06734882097852526,-0.04801861377465395,-0.11173827570432254,0.12406094922540929,-0.011529154142492384,0.02015654571020713
2010_2018_percent_upzoned,0.9100288532731678,1.0,0.32758164719809874,-0.009691047764830355,0.012533677537308708,0.023566256333544557,-0.01356194256017099,0.08316462359304358,0.010672273383318158,0.044202642291665886,0.0217015468992918,0.007405382372558642,0.08031503830453603,0.023552354197640703,0.13016119638476153,-0.0837293168414658,-4.614012637445208e-06,-0.042869417393436936,0.02245367213378345,-0.024542701523378334,0.012931310259220705,0.061558066614173776,-0.08590089990991477,0.03351618787113319,0.08532335142750593,-0.014513878395185007,0.0496158668389188,0.005923092861632174,0.01666901041549862,0.005537431179297117,0.023341540037787534,0.018891409594105305,0.00546878304786767,-0.08646371694774921,-0.025304351516631962,-0.01633521200290338,0.00948491558712358,0.011098844707318293,0.015537117735676207,-0.014297879650022915,-0.07109432910221332,0.03154649214699515,0.056400906534220266,-0.017731385196578787,0.03537499946440943,-0.003626154238072641,0.00602265911391669,0.0037115836437157518,0.11014794922375057,0.014995841923292506,0.10916200800051318,-0.009539844247194373,0.0020820340402883794,-0.03340252595021837,0.01162547595077033,-0.039586962724827895,0.01005273356216642,0.097584182484818,-0.03387415293147723,0.003806812646787823,0.05544104778941126,0.0022665874120716308,0.019387521364705937,0.007262902550597337,-0.0011427343756733148,0.07454761406203796,-0.11920217450300037,0.04976173431806388,0.1403417994843292,-0.038873638278342636,-0.1311198538358034,-0.09139403901077159,0.049693660740911555,0.1207326069107206,-0.04054732549154912,-0.053403052136083824,-0.051842191115631694,0.05168500619293028,-0.07364448251421478,-0.09014385340380902,-0.13612431914048115,0.15663392649450217,-0.013971429101304571,0.03394684995045083
2014_2018_percent_upzoned,-0.026857333118414116,0.32758164719809874,1.0,-0.0010646949926306768,-0.005976488559754808,-0.004688722006082808,-0.05261792813594492,0.1167050255524532,0.05560936889975022,0.10244884957982395,0.019933971189090623,-0.002469068848232442,0.09453671119792093,-0.030002144912733234,0.030383071834247197,0.032416282226554294,0.05744683468956622,-0.015104511401463523,-0.004286895462505069,-0.012259780895540657,-0.037567959021919804,-0.06957972137088025,-0.043051803001952674,0.02636577954755331,0.0052371851733946425,-0.011494491167333669,0.01430714601244663,0.0059032433619613115,0.09757151972162711,-0.046903920232383496,0.058730221244267265,-0.014586845125358142,-0.055193069446227074,0.025287679187494007,-0.07767340850404265,0.009701926879556042,0.006154861187100791,-0.04442198944417048,-0.005641022196311319,-0.04829200378805374,-0.05956186116954434,0.03912989859285397,0.017664594030257098,-0.022375329805079683,0.023147686497332575,-0.000493889719423551,0.05082034680283796,0.04925689201352074,0.09116252849772512,-0.025398578854046686,0.08334173037266984,0.013645403511361015,0.05818234036272442,-0.02981110618828703,-0.012752411997395812,0.03412630824930862,-0.03601549784362697,-0.02862314082807362,0.0075682290694587435,-0.011859618926886566,-0.010481040645989998,0.010563847905433283,-0.008696722857466196,0.0024444287341076833,0.006612152719073735,0.10234468643368463,-0.08180248807732496,0.031483638620717264,0.16058796112918575,-0.06719712088195742,-0.08981433746155652,-0.07170287330035463,0.05918990646887861,0.08170585484412286,-0.0017888487318186096,-0.10458893565827691,-0.02089729164299823,0.07302908072342396,-0.005661462833514454,-0.09654852742065305,-0.08945870925878208,0.10688768171959173,-0.010294680440134794,0.026120832571792922
d_2010_2014_resid_units,-0.010294164801722842,-0.009691047764830355,-0.0010646949926306768,1.0,0.40962995394928003,-0.5075941110956095,-0.034193244414210455,-0.011283083678373594,0.012078297631243419,0.07127725681284176,0.010292078260144203,0.06393151316664103,0.044394677356221046,-0.010136938538160832,0.03255543529171893,0.010949305898814914,0.0642336931731149,-0.033737485905981274,-0.001347536616480215,0.02183967729691423,-0.0018881679723975705,0.015467955506835876,0.030003613815753394,0.01923251310895947,-0.0038591490821984647,-0.011225167942939068,-0.0017520710031888864,0.0007589898432378029,-0.006190086740925472,0.0033638806804664858,-0.021438102026704008,0.012980654564093754,0.01136064013542701,-0.032654854913277104,0.031649407422835396,-0.031746023642275384,0.006053967180746021,-0.005511858444014553,-0.04083921800657849,-0.008026471022145142,-0.0009417518395608062,0.02210137579086092,0.013255284405272285,-0.026498226187766635,0.007593550395536498,0.0032507878154391925,-0.005745653108898265,0.08184629959580932,0.10317350325606538,-0.024410506598344282,0.016866751702342263,0.04823227457206099,0.06431306536458738,-0.005493361698544183,-0.008768974650308086,0.0332384274453667,0.007484556495193914,-0.007587338596722464,0.038084299106686016,-0.0014797197115162786,-0.01826188288150132,0.015269847246554382,-0.010593978499633576,-0.003275844064914109,-0.01113103118443575,0.055580442825150726,-0.050905002044284525,0.016861197541495572,0.06526596303967883,-0.024526181626876007,-0.03548447968625855,-0.014395104183369574,0.048662307446166876,0.056458405613001215,-0.0019075487239182136,-0.06734694653534617,-0.01705820338642116,0.007621719689637988,-0.0244060159127793,-0.030020498302809104,-0.03656069878131324,0.033025862346871576,-0.005484180252645295,0.0017919159871886679
d_2010_2018_resid_units,0.01903124760438411,0.012533677537308708,-0.005976488559754808,0.40962995394928003,1.0,0.36396083706650134,-0.1316825836547976,0.05334808624475498,0.024736702110990216,0.09408146878839455,0.03183786722950422,0.10120918200230337,0.19234594261154575,0.1103431820172425,0.012127621885586541,-0.0027220235472097155,0.04669946977802751,0.00509138459246683,0.0406536051480808,-0.018688994100055402,0.14071042188551577,0.1029650677211462,0.027880196396309204,-0.061569070553869176,0.0668251980861315,0.011092156335685527,0.026364890402590904,-0.03558058341777802,-0.012584615019806214,0.04671054828971178,0.11801355787058349,0.10572428994971474,0.0058641991394221245,-0.02539057923745327,0.0021158435779217596,-0.0031954026439290875,0.042258534686263456,0.03209467026144152,0.01622844844503947,0.07015568374704524,0.0010079092088056277,-0.04172995102643506,0.06345269412222375,0.007417050750717024,0.01377090102327324,-0.012549927267783957,-0.01633248323552804,0.08319101156754664,0.1873032197685899,0.04940579909414858,0.0033854845508935463,0.024224214904207928,0.048214558621374595,0.011734571339751719,0.002196593095543551,-0.05639540347649568,0.038039340973254884,0.04947267756847948,0.03340182551861674,-0.031062897164560944,0.02043733562455957,0.005745513664708961,0.015683923007361728,0.0029626008940296044,-0.0964176336248724,-0.0016970705270162628,-0.002624339903797935,-0.016146511641310507,0.03634351482842893,-0.0025548338238159216,-0.04165948658502873,0.04260038208133779,0.01639511846438887,0.08852473175010729,-0.056733128004024,0.008367160009017124,0.018655515507185954,-0.0761917393405599,-0.07639346394674337,0.049730676772943724,-0.10691585423873048,0.05832994867389814,0.024767185059286843,0.030953072230121895
d_2014_2018_resid_units,0.029375746252074824,0.023566256333544557,-0.004688722006082808,-0.5075941110956095,0.36396083706650134,1.0,-0.0956501667163206,0.06693682128750207,0.015177923302711423,0.0347773778565234,0.020504160086121437,0.026746593644610694,0.15867786713952514,0.11996220943396312,-0.011581443569665636,0.019817722848467896,-0.015037321642436905,0.018252624906435925,0.04024082091598123,-0.03262293643628353,0.13200791711634038,0.12004433134717152,-0.008089553604154575,-0.082001862981779,0.0665000712507615,0.03565362985563167,0.024441369963016067,-0.03067680973653546,-0.013084584724837017,0.01819482329295172,0.14169655159060623,0.09552598002713078,0.0041737787990705115,0.025334606561036466,-0.04734133689560442,0.011335493753735116,0.02926380248777023,0.01875124901957169,0.0733085963592045,0.06536960027547077,-0.013713776189781144,-0.0679490180969168,0.05104599704077402,0.03683069879028584,0.0031581807483545363,-0.008671529856655367,-0.007155333449434588,0.015428372733306678,0.09991517359536853,0.07060480834262797,-0.015333394223354084,-0.0021999646183641737,-0.013777238160896025,0.010744000007151496,0.016004138661721116,-0.059675791588444015,0.016508836502623296,0.07623563200194344,0.003984493324855017,-0.026398954383510084,0.03201866071965652,0.003371854382928754,0.025283914202803758,0.0001306795414008998,-0.062383451159781195,-0.0450309766095672,0.05103402845655004,-0.04022891342889456,-0.031167049655702057,0.030751746505735977,-0.0018099596649475847,0.06479949168441199,-0.027384589551287662,0.02867936190377687,-0.055439972697220424,0.08315699283859311,0.042859755401657276,-0.07937705887414644,-0.048176794326993115,0.08356169134033312,-0.07139365752075731,0.011691380663361518,0.026906953869406253,0.028333500160611872
orig_percent_residential,0.01981280602473495,-0.01356194256017099,-0.05261792813594492,-0.034193244414210455,-0.1316825836547976,-0.0956501667163206,1.0,-0.09482625408531427,-0.0962479640978495,-0.30342250804541093,0.0592401278269904,-0.05864085400743928,-0.2069252624796202,-0.1914621583928817,-0.0169986024965892,-0.013673915065393914,0.012816681196506634,0.012792448656816441,-0.05870949165768427,-0.03382137805522749,-0.15053484874698972,-0.12828990347806438,0.04260205084302982,-0.005233441792400065,-0.09229581427331196,0.020986676502646243,-0.05089261633241205,0.0823712578548533,0.04944098359071782,-0.021762881041224084,-0.15801222009013635,-0.2204748448346822,0.03210354095003918,0.07758845155227827,0.06348957743647549,0.04451583975923341,-0.020218171432817303,0.011461459084016681,-0.03229490889873519,-0.12060709560571452,0.0541870904722494,0.07373593785596917,-0.09379164909732066,0.026625752850383957,-0.05375314031773511,-0.0453841133458654,0.042033457862015566,-0.05414207626075267,-0.1632593139055988,-0.029911028772671273,-0.0898232799612202,-0.0772856727802717,0.037735891517303936,0.0024360965835384238,-0.10027481954949949,-0.023479126845900485,0.016481283316593938,-0.03922740162965671,-0.009431860694340929,-0.1214180808277406,0.05715681873989161,0.003210035723597808,-0.009880017355763862,0.07766414442201872,0.11082032902244389,0.1103636030053457,0.01720439797218666,0.019030027794982415,-0.18749623438291102,0.07671313803183459,0.1012399679573913,-0.11560619479974873,0.054506054836164275,-0.375260914228551,0.2039622396931862,0.23489671821050162,0.11079028062576868,0.16082062126407756,0.3338280582825983,-0.06474042734807672,0.3856098105795665,-0.14146506787914187,-0.2182931426511721,-0.4028112807457788
orig_percent_mixed_development,0.0474208241380055,0.08316462359304358,0.1167050255524532,-0.011283083678373594,0.05334808624475498,0.06693682128750207,-0.09482625408531427,1.0,0.14143588646401575,0.5211288461501756,-0.09116088038049273,0.051783939308884766,0.10655971843091037,0.24472258612732525,0.08822701368831007,-0.025837979153922642,0.3084274519335597,-0.0701656190623402,0.008023007475265981,-0.0003767680629028056,0.14457316194302228,0.2317969963679843,0.043950066074418766,-0.016600298098856013,0.10039984552747265,-0.010023565124583425,-0.0001091530300369325,0.002863036892449888,-0.014532900703696824,0.04177983200726636,0.0641012981894573,0.1369450260119584,0.016501006997493437,-0.027663076020525014,-0.05932555281806443,-0.02400295413326231,-0.012568547222525855,0.010230715929590994,0.07068158652616498,0.0825673472688568,0.04453412110857712,-0.001248502853161017,0.06868938774402622,-0.018708336408764438,0.006674424261002919,0.0005621579665597905,0.0359916473981454,0.022527172880989023,0.10534015825419642,0.19910978840002252,0.053506037915681204,0.002509084919725964,0.3122327896570587,-0.054105581878689565,0.008340777197416582,-0.0046664185294707635,0.06517449503076443,0.14928905946844498,0.008065747477027223,-0.026797763086024363,0.07208105193928024,0.009909800022449853,-0.009168885485659502,0.0009656758593300665,-0.051609347493133916,0.5593328573559435,0.10194517512818796,-0.1590113432200468,0.08969286612736506,0.02181974305098369,-0.14294009786887582,0.2952049704590174,0.6251928881558493,0.4707403555043525,-0.1779891941705664,0.05149016404088717,0.18190053955791485,-0.2712714733374611,-0.24164908873130053,0.2807937944061978,-0.5563462395665192,0.28697976215070464,-0.005646543973179093,0.1607036057475319
orig_percent_subsidized_properties,-0.006974955696878015,0.010672273383318158,0.05560936889975022,0.012078297631243419,0.024736702110990216,0.015177923302711423,-0.0962479640978495,0.14143588646401575,1.0,0.1398581412478688,0.0234479908802356,0.027525942268492275,0.13998516887524934,-0.013782555393629355,0.06106569501021803,-0.0002350919747337418,0.14044994453828755,-0.03650942634300005,0.011930637974449135,0.07547278364385973,-0.08697005246357406,0.04258306945175464,-0.06262802843649942,-0.002631282981395508,0.014492883882514707,-0.009203438552927814,0.027835045026667015,0.006757985679372355,0.027952496232695676,0.01424967421425557,0.08020162153767965,0.01325085400017038,-0.010047241299499916,-0.07845398132674104,-0.04720464194536028,-0.017931143404547243,0.007855619253777549,0.03586238624474547,-0.04020307860173441,0.005276266759601803,-0.041158965183284844,-0.010869976653785217,0.016279429776266445,-4.5094347148424365e-05,0.013853113737132293,-0.001921455067466787,0.011840940602791564,0.020893241819926214,0.14331731007296336,-0.02864906153726823,0.06304588108251717,0.08374684939147911,0.1414679620589211,-0.023718609715546655,0.0019615402172020132,0.05509109054192616,-0.07656490167418506,0.0441488167161118,-0.035667797866306986,0.006557614038683148,0.005676110451039541,-0.010535736360262565,0.017252774673859488,0.004383121020464839,0.0018307404944020883,0.17912650190618418,-0.13053965590950733,0.10946613156390772,0.14575229080813137,-0.09262878501726547,-0.1489519325164148,-0.09992667544583245,0.1437717289720454,0.19083003592323913,0.022927247810578654,-0.28039210085043736,-0.07448431092564403,0.0527794582427125,0.029271897933301344,-0.11802162074743228,-0.18664504626146455,0.17736058471116167,-0.01628581158709999,0.06661398253410601
2002_2010_percent_upzoned,0.01502554315592132,0.044202642291665886,0.10244884957982395,0.07127725681284176,0.09408146878839455,0.0347773778565234,-0.30342250804541093,0.5211288461501756,0.1398581412478688,1.0,-0.09725632076681485,0.10839201666067096,0.15500866052488402,0.21564206989242812,0.09404920749093723,-0.03561609751691289,0.36314580591471257,-0.07093848706969001,0.006578801493147198,0.07980465184986715,0.09733356473253021,0.08045097832901528,0.03188000742152077,0.05228467896543227,0.00921357106301242,-0.020025595367990225,0.03532125886116093,-0.05940691451244229,-0.0019627987718854882,0.049137555884182435,0.09087038213657235,0.15854036318219752,0.0886035626183718,-0.11233636355665497,-0.02352131374429707,-0.025212314211181953,0.013609275991582629,0.027062427933986617,0.02516272315331474,0.049489219482960686,0.005297079832866859,-0.017664206970465664,0.03897538348917129,-0.021682005765566743,0.012350525080022396,0.019507133221104433,0.03763868913958809,0.09009029561144082,0.15615994413869025,0.14085509888501094,-0.013147297912537551,0.07600113375200412,0.364122784123997,-0.055620586993624745,-0.01497132233220151,0.07257817275052514,0.00023723003867561306,-0.007534267504729185,0.033561995729199545,0.07792223659167971,-0.02034006088812835,0.0009132149967933011,0.02848499370829253,-0.03952304288336609,-0.05899530105354271,0.576653679057621,-0.0391765855269834,-0.0485018642352248,0.24234139711382846,-0.16624835833148088,-0.10084594348823424,0.3495279494380328,0.6331591972406228,0.46573603012347575,-0.228017052701775,-0.09277033425896279,-0.052645526859098644,-0.2376018466581697,-0.3022079576979562,0.2640290924043911,-0.5197224673425267,0.23770045893577768,0.09017836658327645,0.2027633589488501
